,orig,dest,distance,duration
183,Aalborg,Thisted,129622.4,7719.2
184,Aalborg,Tårnby,407074.3,16001.1
185,Aalborg,Tønder,280208.9,11407.8
186,Aalborg,Vallensbæk,392886.2,15077.4
187,Aalborg,Varde,171176.9,9397.1
188,Aalborg,Vejen,230057.7,9117.5
189,Aalborg,Vejle,180405.1,7503.5
190,Aalborg,Vesthimmerland,51986.9,2829.7
191,Aalborg,Viborg,72025.9,3911.5
192,Aalborg,Vordingborg,399814.5,17279.4
193,Aalborg,Ærø,303614.4,14826
194,Aarhus,Aabenraa,154360.5,6166.8
195,Aarhus,Aalborg,117085.3,5126.7
196,Aarhus,Aarhus,0,0
197,Aarhus,Albertslund,296403.4,11651.6
198,Aarhus,Allerød,331466.1,13326.4
199,Aarhus,Assens,147296.6,6780.6
200,Aarhus,Ballerup,302028.6,11933.1
201,Aarhus,Billund,97734.3,4500
202,Aarhus,Bornholm,478556.1,21897.8
203,Aarhus,Brønderslev,162787.3,6906.9
204,Aarhus,Dragør,309417.5,12374
205,Aarhus,Egedal,299349.3,11771.6
206,Aarhus,Esbjerg,132927.1,5485.9
207,Aarhus,Faaborg-Midtfyn,147782.1,6870.6
208,Aarhus,Fanø,173730.8,7661.6
209,Aarhus,Favrskov,33626.2,1880.9
210,Aarhus,Faxe,277433.8,10966.6
211,Aarhus,Fredensborg,334908.4,13479.4
212,Aarhus,Fredericia,100286.7,4220.1
213,Aarhus,Frederiksberg,301452.6,12117.6
214,Aarhus,Frederikshavn,201359.5,8423.2
215,Aarhus,Frederikssund,290069.7,12865.7
216,Aarhus,Furesø,304984.1,12202.8
217,Aarhus,Gentofte,315836.9,12643.5
218,Aarhus,Gladsaxe,308934.6,12275.8
219,Aarhus,Glostrup,296403.4,11651.6
220,Aarhus,Greve,276675.6,10877.3
221,Aarhus,Gribskov,347603.7,14069.1
222,Aarhus,Guldborgsund,312199.3,13591.9
223,Aarhus,Haderslev,129258.6,5311.7
224,Aarhus,Halsnæs,304522,14453.9
225,Aarhus,Hedensted,71406.5,3072.5
226,Aarhus,Helsingør,334908.4,13479.4
227,Aarhus,Herlev,299958,11803.3
228,Aarhus,Herning,109348.9,4733.9
229,Aarhus,Hillerød,302792.3,13534.3
230,Aarhus,Hjørring,176447,7278.6
231,Aarhus,Holbæk,252381.3,10746.7
232,Aarhus,Holstebro,134161.6,5655.7
233,Aarhus,Horsens,48849.3,2424.6
234,Aarhus,Hvidovre,295905,11667.3
235,Aarhus,Høje-Taastrup,291597.4,11505.5
236,Aarhus,Hørsholm,328207.1,13090.3
237,Aarhus,Ikast-Brande,89128.2,3872.4
238,Aarhus,Ishøj,289168.1,11529.2
239,Aarhus,Jammerbugt,147920,7328.5
240,Aarhus,Kalundborg,246985.4,10676.7
241,Aarhus,Kerteminde,156538.4,6393.1
242,Aarhus,Kolding,114618.3,4754.5
243,Aarhus,København,303537.8,12290.2
244,Aarhus,Køge,266025.8,10543.1
245,Aarhus,Langeland,200353.3,8303.3
246,Aarhus,Lejre,254652.2,10623.3
247,Aarhus,Lemvig,182052,8489.9
248,Aarhus,Lolland,324128.5,14240.5
249,Aarhus,Lyngby-Taarbæk,315820.4,12648.6
250,Aarhus,Læsø,202370.4,8663
251,Aarhus,Mariagerfjord,37412.7,2429.8
252,Aarhus,Middelfart,120145.2,5019.3
253,Aarhus,Morsø,143005.3,7950.7
254,Aarhus,Norddjurs,43239.9,2826.6
255,Aarhus,Nordfyn,128000.3,5864.8
256,Aarhus,Nyborg,179235.8,7334.2
257,Aarhus,Næstved,261596.1,11501
258,Aarhus,Odder,9886.6,707.3
259,Aarhus,Odense,156538.4,6393.1
260,Aarhus,Odsherred,259417.4,11262.3
261,Aarhus,Randers,60795.3,3411.3
262,Aarhus,Rebild,74824,4283.5
263,Aarhus,Ringkøbing-Skjern,126340.7,5937.5
264,Aarhus,Ringsted,249282.4,10342.6
265,Aarhus,Roskilde,266510.9,10737.7
266,Aarhus,Rudersdal,322961.9,12835.6
267,Aarhus,Rødovre,298018,11798.8
268,Aarhus,Samsø,52301.3,5670.6
269,Aarhus,Silkeborg,37769.6,2712.3
270,Aarhus,Skanderborg,17841.5,1368.8
271,Aarhus,Skive,159193.6,7182
272,Aarhus,Slagelse,212909.3,9064.6
273,Aarhus,Solrød,275417,10793.6
274,Aarhus,Sorø,237705,9809.3
275,Aarhus,Stevns,266443.6,10753.6
276,Aarhus,Struer,123551.4,5466.3
277,Aarhus,Svendborg,185638,7793
278,Aarhus,Syddjurs,41530.5,2581.7
279,Aarhus,Sønderborg,216587.2,8815.9
280,Aarhus,Thisted,176469,8143.1
281,Aarhus,Tårnby,303537.8,12290.2
282,Aarhus,Tønder,176672.3,7696.9
283,Aarhus,Vallensbæk,289349.6,11366.5
284,Aarhus,Varde,127284.3,6273.2
285,Aarhus,Vejen,126521.1,5406.6
286,Aarhus,Vejle,76868.5,3792.6
287,Aarhus,Vesthimmerland,108324.8,5372
288,Aarhus,Viborg,92032.6,4811.9
289,Aarhus,Vordingborg,296277.9,13568.5
290,Aarhus,Ærø,200077.9,11115.1
291,Albertslund,Aabenraa,275898.1,10826.4
292,Albertslund,Aalborg,397253.1,15293
293,Albertslund,Aarhus,294150.4,11561.1
294,Albertslund,Albertslund,0,0
295,Albertslund,Allerød,38648.4,1996.1
296,Albertslund,Assens,176701.4,7595.7
297,Albertslund,Ballerup,7570.9,584.2
298,Albertslund,Billund,252717.5,10541.1
299,Albertslund,Bornholm,194393.5,10979.3
300,Albertslund,Brønderslev,442955,17073.2
301,Albertslund,Dragør,25254.9,1455.5
302,Albertslund,Egedal,10520.7,737.1
303,Albertslund,Esbjerg,254464.7,10145.5
304,Albertslund,Faaborg-Midtfyn,177186.8,7685.7
305,Albertslund,Fanø,295268.5,12321.2
306,Albertslund,Favrskov,291541,11684
307,Albertslund,Faxe,47972.6,2151
308,Albertslund,Fredensborg,42090.6,2149.1
309,Albertslund,Fredericia,204428.8,8143.9
310,Albertslund,Frederiksberg,9291.9,855.6
311,Albertslund,Frederikshavn,481527.2,18589.5
312,Albertslund,Frederikssund,36769,2252.5
313,Albertslund,Furesø,19041.4,1045.2
314,Albertslund,Gentofte,23019.2,1313.2
315,Albertslund,Gladsaxe,16116.9,945.5
316,Albertslund,Glostrup,0,0
317,Albertslund,Greve,20216.5,1128.6
318,Albertslund,Gribskov,54786,2738.8
319,Albertslund,Guldborgsund,125969.9,4975.7
320,Albertslund,Haderslev,250796.3,9971.3
321,Albertslund,Halsnæs,66650.8,3694.7
322,Albertslund,Hedensted,225196.5,8991.9
323,Albertslund,Helsingør,42090.6,2149.1
324,Albertslund,Herlev,7273.2,679.7
325,Albertslund,Herning,317389.7,12303.8
326,Albertslund,Hillerød,50816.7,2608.1
327,Albertslund,Hjørring,456614.7,17444.9
328,Albertslund,Holbæk,71894.6,3447
329,Albertslund,Holstebro,342202.4,13225.6
330,Albertslund,Horsens,252388.1,10046.8
331,Albertslund,Hvidovre,6466.2,556.7
332,Albertslund,Høje-Taastrup,7568.8,629.2
333,Albertslund,Hørsholm,35389.4,1760
334,Albertslund,Ikast-Brande,297540.1,11502.8
335,Albertslund,Ishøj,16906.2,1001.7
336,Albertslund,Jammerbugt,428087.7,17494.8
337,Albertslund,Kalundborg,88859.8,4476.2
