,orig,dest,distance,duration
3721,Randers,Assens,194156.7,8811.7
3722,Randers,Ballerup,348888.7,13964.2
3723,Randers,Billund,144594.4,6531.1
3724,Randers,Bornholm,525416.2,23928.9
3725,Randers,Brønderslev,147948.4,6421.3
3726,Randers,Dragør,356277.7,14405.1
3727,Randers,Egedal,346209.4,13802.7
3728,Randers,Esbjerg,179787.2,7517
3729,Randers,Faaborg-Midtfyn,194642.2,8901.7
3730,Randers,Fanø,220590.9,9692.7
3731,Randers,Favrskov,73995.6,3484
3732,Randers,Faxe,324293.9,12997.7
3733,Randers,Fredensborg,381768.5,15510.5
3734,Randers,Fredericia,147146.8,6251.2
3735,Randers,Frederiksberg,348312.7,14148.7
3736,Randers,Frederikshavn,186520.7,7937.6
3737,Randers,Frederikssund,336929.9,14896.8
3738,Randers,Furesø,351844.3,14233.9
3739,Randers,Gentofte,362697.1,14674.6
3740,Randers,Gladsaxe,355794.8,14306.9
3741,Randers,Glostrup,343263.5,13682.7
3742,Randers,Greve,323535.7,12908.4
3743,Randers,Gribskov,394463.9,16100.2
3744,Randers,Guldborgsund,359059.4,15623
3745,Randers,Haderslev,176118.7,7342.8
3746,Randers,Halsnæs,351382.1,16485
3747,Randers,Hedensted,118266.6,5103.6
3748,Randers,Helsingør,381768.5,15510.5
3749,Randers,Herlev,346818.1,13834.4
3750,Randers,Herning,149718.3,6337
3751,Randers,Hillerød,349652.4,15565.4
3752,Randers,Hjørring,161608.2,6793
3753,Randers,Holbæk,299241.4,12777.8
3754,Randers,Holstebro,174531.0,7258.8
3755,Randers,Horsens,95709.5,4455.7
3756,Randers,Hvidovre,342765.2,13698.4
3757,Randers,Høje-Taastrup,338457.5,13536.6
3758,Randers,Hørsholm,375067.3,15121.4
3759,Randers,Ikast-Brande,129497.6,5475.5
3760,Randers,Ishøj,336028.2,13560.3
3761,Randers,Jammerbugt,133081.2,6842.9
3762,Randers,Kalundborg,293845.5,12707.8
3763,Randers,Kerteminde,203398.6,8424.2
3764,Randers,Kolding,161478.4,6785.6
3765,Randers,København,350397.9,14321.3
3766,Randers,Køge,312885.9,12574.2
3767,Randers,Langeland,247213.4,10334.4
3768,Randers,Lejre,301512.3,12654.4
3769,Randers,Lemvig,222421.3,10093
3770,Randers,Lolland,370988.6,16271.6
3771,Randers,Lyngby-Taarbæk,362680.5,14679.7
3772,Randers,Læsø,187531.6,8177.4
3773,Randers,Mariagerfjord,22487.6,1950.9
3774,Randers,Middelfart,167005.3,7050.4
3775,Randers,Morsø,138803.1,7497.4
3776,Randers,Norddjurs,13741.7,1098.8
3777,Randers,Nordfyn,174860.5,7895.9
3778,Randers,Nyborg,226095.9,9365.3
3779,Randers,Næstved,308456.2,13532.1
3780,Randers,Odder,70359.7,4052.4
3781,Randers,Odense,203398.6,8424.2
3782,Randers,Odsherred,306277.5,13293.4
3783,Randers,Randers,0.0,0
3784,Randers,Rebild,39188.0,2872.2
3785,Randers,Ringkøbing-Skjern,166710.0,7540.6
3786,Randers,Ringsted,296142.6,12373.7
3787,Randers,Roskilde,313371.1,12768.8
3788,Randers,Rudersdal,369822.0,14866.7
3789,Randers,Rødovre,344878.1,13829.9
3790,Randers,Samsø,112774.5,9015.7
3791,Randers,Silkeborg,47922.7,3050.7
3792,Randers,Skanderborg,53637.1,2739
3793,Randers,Skive,125561.2,6916.9
3794,Randers,Slagelse,259769.4,11095.7
3795,Randers,Solrød,322277.1,12824.7
3796,Randers,Sorø,284565.1,11840.4
3797,Randers,Stevns,313303.7,12784.7
3798,Randers,Struer,163920.8,7069.4
3799,Randers,Svendborg,232498.2,9824.1
3800,Randers,Syddjurs,25283.7,1905.9
3801,Randers,Sønderborg,263447.3,10847
3802,Randers,Thisted,172239.8,9310.9
3803,Randers,Tårnby,350397.9,14321.3
3804,Randers,Tønder,223532.5,9728
3805,Randers,Vallensbæk,336209.8,13397.6
3806,Randers,Varde,177563.8,7967.4
3807,Randers,Vejen,173381.2,7437.7
3808,Randers,Vejle,123728.7,5823.7
3809,Randers,Vesthimmerland,93486.0,4886.4
3810,Randers,Viborg,74957.1,4483.1
3811,Randers,Vordingborg,343138.1,15599.6
3812,Randers,Ærø,246938.0,13146.2
3813,Rebild,Aabenraa,215369.4,9038.1
3814,Rebild,Aalborg,38072.9,2719
3815,Rebild,Aarhus,75239.5,4274.5
3816,Rebild,Albertslund,357412.3,14522.9
3817,Rebild,Allerød,392475.0,16197.7
3818,Rebild,Assens,208305.5,9651.9
3819,Rebild,Ballerup,363037.5,14804.4
3820,Rebild,Billund,158743.2,7371.3
3821,Rebild,Bornholm,539565.0,24769.1
3822,Rebild,Brønderslev,78545.3,4324.9
3823,Rebild,Dragør,370426.4,15245.3
3824,Rebild,Egedal,360358.2,14642.9
3825,Rebild,Esbjerg,193936.0,8357.2
3826,Rebild,Faaborg-Midtfyn,208791.0,9741.9
3827,Rebild,Fanø,234739.7,10532.9
3828,Rebild,Favrskov,88144.3,4324.2
3829,Rebild,Faxe,338442.7,13837.9
3830,Rebild,Fredensborg,395917.3,16350.7
3831,Rebild,Fredericia,161295.6,7091.4
3832,Rebild,Frederiksberg,362461.5,14988.9
3833,Rebild,Frederikshavn,117117.6,5841.2
3834,Rebild,Frederikssund,351078.6,15737
3835,Rebild,Furesø,365993.0,15074.1
3836,Rebild,Gentofte,376845.8,15514.8
3837,Rebild,Gladsaxe,369943.5,15147.1
3838,Rebild,Glostrup,357412.3,14522.9
3839,Rebild,Greve,337684.5,13748.6
3840,Rebild,Gribskov,408612.6,16940.4
3841,Rebild,Guldborgsund,373208.2,16463.2
3842,Rebild,Haderslev,190267.5,8183
3843,Rebild,Halsnæs,365530.9,17325.2
3844,Rebild,Hedensted,132415.4,5943.8
3845,Rebild,Helsingør,395917.3,16350.7
3846,Rebild,Herlev,360966.9,14674.6
3847,Rebild,Herning,110872.4,6641.5
3848,Rebild,Hillerød,363801.2,16405.6
3849,Rebild,Hjørring,92205.1,4696.6
3850,Rebild,Holbæk,313390.2,13618
3851,Rebild,Holstebro,108168.8,6785.9
3852,Rebild,Horsens,109858.2,5295.9
3853,Rebild,Hvidovre,356913.9,14538.6
3854,Rebild,Høje-Taastrup,352606.3,14376.8
3855,Rebild,Hørsholm,389216.0,15961.6
3856,Rebild,Ikast-Brande,143646.3,6315.7
3857,Rebild,Ishøj,350177.0,14400.5
3858,Rebild,Jammerbugt,78174.4,4774.8
3859,Rebild,Kalundborg,307994.3,13548
3860,Rebild,Kerteminde,217547.3,9264.4
3861,Rebild,Kolding,175627.2,7625.8
3862,Rebild,København,364546.7,15161.5
3863,Rebild,Køge,327034.7,13414.4
3864,Rebild,Langeland,261362.2,11174.6
3865,Rebild,Lejre,315661.1,13494.6
3866,Rebild,Lemvig,156063.8,9648.6
3867,Rebild,Lolland,385137.4,17111.8
3868,Rebild,Lyngby-Taarbæk,376829.3,15519.9
3869,Rebild,Læsø,118128.5,6081
3870,Rebild,Mariagerfjord,50390.4,3503.8
3871,Rebild,Middelfart,181154.1,7890.6
3872,Rebild,Morsø,110070.1,6652.8
3873,Rebild,Norddjurs,45965.4,3241.1
3874,Rebild,Nordfyn,189009.2,8736.1
3875,Rebild,Nyborg,240244.7,10205.5
3876,Rebild,Næstved,322605.0,14372.3
3877,Rebild,Odder,84508.5,4892.6
3878,Rebild,Odense,217547.3,9264.4
3879,Rebild,Odsherred,320426.3,14133.6
3880,Rebild,Randers,39186.1,2883.2
3881,Rebild,Rebild,0.0,0
3882,Rebild,Ringkøbing-Skjern,180858.8,8380.8
3883,Rebild,Ringsted,310291.3,13213.9
3884,Rebild,Roskilde,327519.8,13609
3885,Rebild,Rudersdal,383970.8,15706.9
3886,Rebild,Rødovre,359026.9,14670.1
3887,Rebild,Samsø,126923.3,9855.9
3888,Rebild,Silkeborg,57995.8,3687.7
3889,Rebild,Skanderborg,67785.9,3579.2
3890,Rebild,Skive,96828.2,6072.3
3891,Rebild,Slagelse,273918.2,11935.9
3892,Rebild,Solrød,336425.9,13664.9
3893,Rebild,Sorø,298713.9,12680.6
3894,Rebild,Stevns,327452.5,13624.9
3895,Rebild,Struer,114984.8,6995.5
3896,Rebild,Svendborg,246646.9,10664.3
3897,Rebild,Syddjurs,57507.4,4048.2
3898,Rebild,Sønderborg,277596.1,11687.2
3899,Rebild,Thisted,143506.8,8466.3
3900,Rebild,Tårnby,364546.7,15161.5
3901,Rebild,Tønder,237681.2,10568.2
3902,Rebild,Vallensbæk,350358.5,14237.8
3903,Rebild,Varde,191712.6,8807.6
3904,Rebild,Vejen,187530.0,8277.9
3905,Rebild,Vejle,137877.4,6663.9
3906,Rebild,Vesthimmerland,56416.4,3519.1
3907,Rebild,Viborg,62307.6,3851.9
3908,Rebild,Vordingborg,357286.8,16439.8
3909,Rebild,Ærø,261086.8,13986.4
3910,Ringkøbing-Skjern,Aabenraa,190495.6,7898.1
3911,Ringkøbing-Skjern,Aalborg,148527.4,8473.6
3912,Ringkøbing-Skjern,Aarhus,126090.6,5931
3913,Ringkøbing-Skjern,Albertslund,332538.4,13382.9
3914,Ringkøbing-Skjern,Allerød,367601.2,15057.7
3915,Ringkøbing-Skjern,Assens,183431.7,8511.9
3916,Ringkøbing-Skjern,Ballerup,338163.7,13664.4
3917,Ringkøbing-Skjern,Billund,71010.9,4495.2
3918,Ringkøbing-Skjern,Bornholm,514691.2,23629.1
3919,Ringkøbing-Skjern,Brønderslev,194229.4,10253.8
3920,Ringkøbing-Skjern,Dragør,345552.6,14105.3
3921,Ringkøbing-Skjern,Egedal,335484.4,13502.9
3922,Ringkøbing-Skjern,Esbjerg,105942.5,5768
3923,Ringkøbing-Skjern,Faaborg-Midtfyn,183917.2,8601.9
3924,Ringkøbing-Skjern,Fanø,87117.3,5920.9
3925,Ringkøbing-Skjern,Favrskov,94981.3,4692.3
3926,Ringkøbing-Skjern,Faxe,313568.9,12697.9
3927,Ringkøbing-Skjern,Fredensborg,371043.4,15210.7
3928,Ringkøbing-Skjern,Fredericia,136421.8,5951.4
3929,Ringkøbing-Skjern,Frederiksberg,337587.7,13848.9
3930,Ringkøbing-Skjern,Frederikshavn,232801.6,11770.1
3931,Ringkøbing-Skjern,Frederikssund,326204.8,14597
3932,Ringkøbing-Skjern,Furesø,341119.2,13934.1
3933,Ringkøbing-Skjern,Gentofte,351972.0,14374.8
3934,Ringkøbing-Skjern,Gladsaxe,345069.7,14007.1
3935,Ringkøbing-Skjern,Glostrup,332538.4,13382.9
3936,Ringkøbing-Skjern,Greve,312810.7,12608.6
3937,Ringkøbing-Skjern,Gribskov,383738.8,15800.4
3938,Ringkøbing-Skjern,Guldborgsund,348334.4,15323.2
3939,Ringkøbing-Skjern,Haderslev,165393.7,7043
3940,Ringkøbing-Skjern,Halsnæs,340657.0,16185.2
3941,Ringkøbing-Skjern,Hedensted,107541.6,4803.8
3942,Ringkøbing-Skjern,Helsingør,371043.4,15210.7
3943,Ringkøbing-Skjern,Herlev,336093.1,13534.6
3944,Ringkøbing-Skjern,Herning,29306.8,1870.4
3945,Ringkøbing-Skjern,Hillerød,338927.4,15265.6
3946,Ringkøbing-Skjern,Hjørring,207889.1,10625.5
3947,Ringkøbing-Skjern,Holbæk,288516.4,12478
3948,Ringkøbing-Skjern,Holstebro,39345.1,2558.8
3949,Ringkøbing-Skjern,Horsens,114150.7,5458.3
3950,Ringkøbing-Skjern,Hvidovre,332040.1,13398.6
3951,Ringkøbing-Skjern,Høje-Taastrup,327732.5,13236.8
3952,Ringkøbing-Skjern,Hørsholm,364342.2,14821.6
3953,Ringkøbing-Skjern,Ikast-Brande,37713.1,2338.5
3954,Ringkøbing-Skjern,Ishøj,325303.2,13260.5
